,IDComentario,comentario
6384,220584,"Estamos passeando em Manaus.  Fui no restaurante na semana passada e todos os pratos de peixe estavam muito bons. Voltei hoje e pedimos um filet mignon mal passado. Ele veio ao ponto. Reclamamos e voltou um filet mal passado mas sem sal, pimenta, enfim, muito...ruim. A atendente, muito atenciosa, pediu mil desculpas. Mas o gerente não apareceu.Mais"
228,23473,A comida e a bebida é super caro
2768,112102,A comida e muito boa mas o atendimento deixa a desejar
255,24137,Comida com a qualidade muito inferior aos demais balneários...
2409,92639,"Não vá, você só vai passar raiva e fome"
2568,104394,"Ninguém atende esse telefone não?

por gentileza colocar um telefone que pelo menos alguém atenda."
601,39988,Churrasco seco
2892,116483,"(Tradução do Google) Pedi tacos de carnes, steak foi seco e unseasoned e não havia praticamente nenhuma nas tacos de qualquer jeito. Basicamente apenas um bocado gigante de tortilla com algumas cebolas e coentro cada mordida. Faça um favor a si mesmo e dirija os 15 minutos extras para Bajas ou o California Taco Shop em Providence.

(Original)
Ordered steak tacos, steak was dry and unseasoned and there was barely any in the tacos anyways. Basically just a giant mouthful of tortilla with some onions and cilantro every bite. Do yourself a favor and drive the extra 15 minutes to Bajas or California Taco Shop in Providence."
3249,131184,Muita demora no pedido.
423,32287,Péssimo
5063,185094,Os garçons mal atendeu agente pedimos uma água pensava que tinha água grande a moça só faltou joga a água na nossa cara .
5795,206134,"Menos zero seria minha avalição! Paguei quase 60 reais em uma comida lixo eu nunca mais vou este restaurante no manaura shopping. No manaura shopping DIVINO FOGÃO  E um verdadeiro lixo a carne péssima qualidade dura que nem uma pedra e fria   NÃO RECOMENDO Divino...Fogão Avenida Mario Ypiranga 1300 | Manauara Shopping, Manaus, Amazonas (Estado) 69053-165, BrasilMais"
2317,90445,"(Tradução do Google) Encerra às 1:44 no sábado-> domingo

(Original)
Closed at 1:44am on a Saturday->Sunday"
567,38448,"Fui comer com minha namorada, que estava grávida, e foi efetua o pagamento com uma senhora loira, (acredito que seja a proprietária do estabelecimento) e foi super arrogante  com minha namorada, destratando-a só pelo fato dela não ter dinheiro trocado, fazendo-a ficar em pé esperando a mesma ter o troco!
Quando eu a vi, em pé esperando por muito tempo, fui verificar o que estava acontecendo, ao ver a situação fiquei horrorizado! Não recomendo!!"
437,32687,Horrível e caro
4836,178635,"Comida horrível espaguete  sem sal e frio, almôndegas queimadas."
3630,146542,"Péssimo serviço, uma pessoa para atender, demora demais o nosso pedido e ainda vem frio. Não recomendo!!"
6808,243234,"Caro, bem caro. Almoço de um casal dá mais de R$80,00."
2821,113734,"(Tradução do Google) A comida é péssima e as pessoas que tomam seu pedido são péssimas. Acho que também ficaria infeliz se ganhasse dois centavos por hora.

(Original)
Food sucks and the people taking your order suck even worse. I guess I’d be miserable too if I made two cents an hour."
2755,111728,"A comida: arroz  e peixe meio crú. Ainda tiveram a petulância de querer cobrar 10% na conta total, que já estava incluso os 10%. Atitude desrespeitosa!"
3597,145255,"Lixo, demora demais..."
1779,77029,Boa .agradável
1806,79765,Não ando mais em locais onde não é pet friedly.
1456,65238,"Imagem meramente ilustrativa, que nem o Super homem consegue enxergar...., Até me ofereceram uma Lupa."
4570,174029,"Levamos nossos convidados para juntarmos e para apresentar os restaurantes de Manaus.  Escilh3mos um local afastado do barulho e pedimos uma porção de pastéis de carne e queijo, uma pizza e um file a parmegiana.  Os pastéis (só de carne) foram o primeiros a chegar.  Logo depois veio a pizza.  Mais de 30 mi utos depois é que chegou o terceiro prato.  A pizza estava ao ponto de termos deixado grande parte na mesa.  O file a parmegiana (1 pessoa) não tinha 50 gramas de carne.  Além disso tudo, fomos surpreendidos com a cobrança de couver artístico de R$50,00.  Não voltaremos mais e nem indicaremos o Latorre."
4154,160738,"O atendimento é muito lento, aguardamos por muito tempo na mesa, para quem vai tomar café da manhã e ir para o trabalho, precisa ir bem mais cedo para não se atrasar. Já os pratos são bem feitos, embora em alguns dias meu prato veio trocado. Não seria minha opção para tomar café, porém era o mais próximo do meu hotel."
1978,85963,Indo pelo caminho!
2618,106118,"Pizza nunca chega , pessoal não atende."
3896,154101,"Achei péssimo fui 2x e fui mal atendida, não vinham com as pizzas, me perguntaram 4x minha preferência e passei 1h esperando e desisti fui embora. PÉSSIMO ATENDIMENTO"
6098,212839,"Já tínhamos ido após a mudança de endereço (para o Vierálves) e não gostamos, mas uns amigos queriam experimentar e fomos novamente, que pena.  Não tem estacionamento, ou você estaciona na rua ou no valet, pagando R$ 7,00. Um restaurante com o ticket médio alto,...Mais"
3962,155047,Pizza boa mas veio baratas em meu copo bem ruim
537,37083,Queria faze uma pergunta pode fazer bife no seu restaurante
5829,206727,A comida é muito boa e variada. A seleção de cachaças é muito legal. Mas o atendimento é horripilante. Você tem que praticamente implorar para ser notado pelo garçom.
3213,130398,"A pizza estava boa, porém escolhemos portuguesa com calabresa e saiu portuguesa com mussarela.
A jarra de suco natural de laranja tinha muita, mas muita água.
Fui reclamar mas como o pagamento é antecipado, ficou fácil para a moça de óculos, que nos atendeu, dizer que o erro era nosso.
Comemos assim mesmo, mas não foi fácil, confesso...
Até a nossa senha que era 53 chamaram errada...e, como não podia ser diferente, chamaram 69..."
1335,60645,"Lugar muito pequeno, quente, esquema de venda de bebidas ultrapassado... Fora q um segurança era muito mal preparado, tratando mal os clientes..."
3332,134500,"Se você vai apenas pela pizza recomendo muito pois a qualidade da pizza é excelente, mas se você vai para comer sushi eu não recomendaria, pois cheguei às 19H e demoraram uma eternidade para começar a sevir e ainda era sushi do dia anterior com a alga incomestível além de ter apenas 4 opções de sushi foi uma decepção total dinheiro jogado no lixo."
1761,76532,Foi mais ou menos o rodízio de pizzas demora muito eles tão um pedaço e levar causes meia hora depois pra vim outros pedaço.
839,49110,"NADA JUSTIFICA O PREÇO. Vamos lá, o local é bacana pra ir até lá dar um passeio depois pegar uma estrada, o ambiente é bem regional com mesas de madeira temáticas e tem uma área com ar condicionado pra quem é calorento. Embora estivesse cheio fomos bem atendidos e os sanduíches que pedimos chegaram rápido. Porém o estabelecimento perdeu a mão nos valores de seu cardápio. Um pão francês simples com queijo banana e tucumã (x caboquinho) por 20 reais? Um pão com queijo e banana frita por 13 reais? Totalmente surreal. Nem mesmo em cafés concorrentes como a Pãozinho, que tem nível mais alto, o preço sai tão caro. As tapiocas, embora grandes, quanto mais recheio mais caras ficam, chegando a inacreditáveis 40 60 reais. Isso é mais caro que um prato gourmet em restaurante chique. O lanche estava gostoso, mas não justifica de forma alguma o preço. Se você tem apreço pelo seu dinheiro, vá em outro lugar. Para completar, mesmo cobrando preços caríssimos, eles não fornecem nota fiscal espontaneamente, ou seja, você tem que pedir. Nunca mais voltarei nesse local."
1496,66973,Pelo preço a comida deixa muito a desejar! Além do garçom estar completamente perdido.
1492,66754,Colocam pouco camarão e pouco peixe no prato. Vc paga quase 200 reais num almoço e colocam 5 camarões dentro. Não dá. Só querem vender arroz.
2534,102731,Não fui lá!
5042,184607,Ta demorando pra kct
6286,217635,"Faltam palavras para descrever o descaso com os clientes.  Bastava olhar para lado e observar as mesas ao redor, todos inquietos tentando chamar um atendente. Um casal chegou e ficou um tempão aguardando atendimento, até que decidiram levantar e ir embora (atitude que deveríamos ter...Mais"
4003,155990,"Uma pena quase estraguei a noite da minha família neste lugar.
Lugar sujo, com um péssimo atendimento, onde o comercial fala de 70 qualidade de pizza e só tinha mais de banana com queijo banana com banana, a lasanha aguadas e os pasteis que demoraram 45 minutos e só tinha de queijo para acompanhar o único REFRESCO de cupuaçu."
2286,89849,"(Tradução do Google) O servidor muito rude.

(Original)
The server very rude ."
6438,221649,"Costumavanos ir ao banzeiro 1 a 2 vezes por semana há anos, já somos clientes assíduos. Porém, o serviço tem piorado a qualidade. Apesar de não mais lotar aos finais de semana como antes, pedimos uma entrada e a entrada não veio, solicitamos um vinho...Mais"
7188,252986,"Terrível o atendimento, meu pedido demorou horas para ser entregue e atendimento no wpp demorando para me retornar"
5164,188673,"Das 3 vezes que estive aqui, a carne todas as vezes estava horrível."
6171,214525,"Não gostei . Pedi um nhoque de macaxeira com Molho de cogumelos. Horrível. Macaxeira amarra na boca, molho pesado, sem sabor. Espaguete ao sugo para criança que deveria ser básico cheio de coentro. Supremo de tambaqui do meu esposo ok, mas nada de excepcional. Acompanhamento...de macaxeira também mal cozido. Não recomendo. Mais nome do que entrega.Mais"
2832,114142,"Um dia essa churrascaria foi boa, caiu absurdamente o padrão do churrasco, além do aumento do valor."
907,49625,"Desorganizados. Fiz meu pedido, aguardei por mais de uma hora. Desisti e fui embora. Não volto lá nunca mais..."
2096,87766,"(Tradução do Google) Eu estava realmente animado para comer aqui que eu trouxe meus amigos. Sou vegana e fiquei muito insatisfeita com meu hambúrguer vegano viva. Assim que eu vi, eu sabia que não ia ser bom. Todos os outros comeram hambúrgueres e todos compartilham sua decepção também. A longa fila não valeu a pena. Eu reclamo com o nosso servidor, ele se desculpou e me ofereceu uma salada. Recusei porque estávamos saindo. Eu sou um seguidor e amante de Gordon Ramsay, essa experiência realmente machucou meu coração… e meu estômago. O chá gelado foi ótimo, no entanto.

(Original)
I was really excited to eat here that I brought my friends. I am vegan and I was very dissatisfied with my viva vegan burger. As soon as I saw it, I knew it wasn’t going to be good. Everyone else ate meet burgers & everyone share their disappointment as well. The long line was not worth. I complain to our server, he apologized and offered me a salad. I declined bcs we were leaving. I am a Gordon Ramsay follower and lover this experience really hurt my heart… and stomach. The iced tea was great, though."
5938,209096,"A casa já perdeu seu esplendor de outrora. Antes, ela era sinônimo de happy hour, porém ela tem pecado desde a péssima qualidade no atendimento até servir carne assada com a etiqueta de papel colocada."
2165,88461,"(Tradução do Google) Não me importei em esperar 50 minutos pela comida. Só fiquei desapontado porque estava faltando a temporada ... pedimos três hambúrgueres e nenhum deles era temperado. Não gosto de sal nem pimenta no hambúrguer. Provei como um hambúrguer Wendy's, simples ... Gordon, você precisa de alguns novos chefs.

(Original)
I didn't mind waiting 50 minutes for the food. I was only disappointed because the season was missing... we order three burgers and none of them were seasoned. Not a taste of salt nor pepper on the burger. Tasted like a Wendy's burger, plain.... Gordon, you need some new chefs."
4427,169249,"Apertado, lotado, muita gritaria. Não recomendo."
812,48702,Café da manhã no Mindu é muito melhor !
16,8028,"Ambiente não é familiar
Preços  meio salgado
Sem salva vidas"
442,32735,Comida sem gosto
2189,88877,"(Tradução do Google) A comida era terrível, comparada ao preço ainda pior. Você obtém hambúrguer muito melhor em NY pela metade do preço em cada lugar de hambúrguer. Mesmo eu tendo uma dor de estômago depois de comê-lo .. desperdício de dinheiro completo

(Original)
Food was terrible, compared to price even worse. You get way much better burger in NY on half price in every burger place. Even i hd a stomach pain after eating it .. complete waste of money"
5501,196612,"atendimento péssimo, pedido demorou demais quando veio chegou errado"
5371,194125,Atendimento poderia ser melhor e as sobremesas são de péssima qualidade!
3480,140074,Pior chop que ja provei na minha vida.
5003,182428,O peixe estava bom mas a carne de sol estava dura e sem sabor
1147,56772,"Local limpo e organizado, atendimento excelente, ambiente familiar a pizzaria fica em uma otima localização e muito fácil encontrar onde estacionar. PORÉM, a PIZZA é  fria e dura, leva muito tempo para chegar a mesa. Totalmente não recomendo."
6013,210978,"Estava em Manaus a trabalho. Um colega estrangeiro queria jantar um rodízio de carne e lá fomos conhecer o Búfalo, indicado por um amigo que também trabalhou em Manaus. O restaurante tem decoração sóbria e o salão principal deve caber pelo menos 100 pessoas. Mas...Mais"
1516,67948,"Cerveja não estava bem gelada e carnes cruas. Os funcionários nao estão alinhados com o que fazer, o gerente em vez de comandar sua equipe, estava servindo carne."
6843,244265,"O local é bem bonito, gostei da comida, mas de verdade, é apenas para conhecer a primeira vez! Tudo muito caro, já fui em restaurantes e locais sofisticados que não chega ao valor da Magnoly."
4559,173529,Péssima entrega  demora  muito não recomendo  só estreso  não comprá noa
1604,72119,Caro e comum
869,49316,"Preços elevados e não entrega uma boa comida. Pão de qualidade ruim.
Atendimento excelente dos garçons."
3333,134504,"Infelizmente o estabelecimento  não respeita o protocolo de pandemia, local super lotado  sem distanciamento entre as mesas, atendem  rodízio sem nenhuma organização, os atendentes passam muito rápido  e não  dá  sequer para entender  o que falam.
Atualmente  merecem 1 estrela!"
5073,185349,Pouca variedade no self service a 59.90
1545,69032,Poucas opções de carnes e guarnições.
4380,167303,Eu não sou o cliente que vcs precisam
7036,250081,"O ambiente, a localização, o atendimento  são bons , mas o resto decepciona, preços não condizem com a qualidade da pizza, sem sabor, pouco recheio, bebida cara.   Não recomendo.  Tem melhores."
4827,178244,"Pedi um prato com filé, no cardápio um belo bife alto e suculento, quando chegou o prato era um bife de filé super fino e sem graça."
2855,115102,"A carne estava dura. Comunicamos ao maître, ele saiu e voltou com uma faca, não uma serrinha, uma faca, e disse que para resolver problema de carne dura era só pegar uma faca mais amolada. Pasmem. Não recomendo. Vários cortes mal selados e duros."
1227,58533,"Decepcionante. Superestimado. Sempre estão em falta de algo. O cover é caro, tem pouco espaço. As porções não têm molho e nem nada de espetacular. Atendimento bom não é só servir a cerveja no copo."
5682,202808,"Fraco entendimento e preço muito alto pra pouca comida, o fato de dar caldo de graça não atribui em nada o preço cobrado e se eu quisesse tomar caldo pediria caldeirada ou iria em uma soparia."
98,12369,"Comida boa, mas muito desorganizado o Picanha Mania tem um atendimento melhor!!"
2344,91290,"(Tradução do Google) Zero itens sem glúten / alergia alimentar. Um lugar de hambúrguer sem uma opção de pão sem glúten? Muito unaccomadating pessoal de cozinha ou conhecimento de ingredientes em molhos. Aguarde a equipe foi agradável. Tempos de espera inaceitáveis. Decepcionar.

(Original)
Zero gluten free/food allergy items. A burger place without a gluten free bun option? Very unaccomadating kitchen staff or knowledge of ingredients in sauces. Wait staff was pleasant. Wait times unacceptable. Let down."
4933,180469,"Para ser considerado italiano, precisam melhorar a qualidade da massa, e do molho"
5613,200097,"Continua a mesma coisa, comida requentada, ruim, muito caro e péssimo atendimento. Só fachada."
2305,90066,"(Tradução do Google) Enquanto em Las Vegas, decidi experimentar os hambúrgueres que eram bons. Boa atmosfera. O maior problema que tive foi que eles me serviram café frio, que deveria estar quente. O garçom pegou minha xícara para me pegar um café quente, levou 5 minutos. Não ficou impressionado.

(Original)
While in Las Vegas I decided to try the burgers which were good. Nice atmosphere. The biggest issue that I had was that they served me cold coffee which was suppose to be hot. The waiter did take my cup to get me some hot coffee, it took 5 minutes. Wasn’t impressed."
